f1_distancia_promedio,f2_distancia_maxima,f3_numero_centros,centros
3.9182121727592514,146.150389,10,"Altamira, Camargo, Casas, González, Matamoros, Méndez, Reynosa, Río Bravo, San Fernando, Valle Hermoso"
9.087830958501987,128.460678,8,"Casas, González, Matamoros, Méndez, Mier, Río Bravo, San Fernando, Valle Hermoso"
7.283771005422787,103.28924,10,"Camargo, González, Matamoros, Méndez, Nuevo Laredo, Reynosa, Río Bravo, San Fernando, Valle Hermoso, Victoria"
6.159922654821361,128.460678,9,"Casas, González, Matamoros, Méndez, Mier, Reynosa, Río Bravo, San Fernando, Valle Hermoso"
5.7324467559894,106.008269,10,"Altamira, González, Guerrero, Matamoros, Méndez, Reynosa, Río Bravo, San Fernando, Valle Hermoso, Victoria"
10.490406215780789,122.698237,8,"González, Matamoros, Méndez, Mier, Río Bravo, San Fernando, Valle Hermoso, Victoria"
5.5995143367154245,122.698237,10,"Altamira, González, Matamoros, Méndez, Mier, Reynosa, Río Bravo, San Fernando, Valle Hermoso, Victoria"
7.562497912100159,122.698237,9,"González, Matamoros, Méndez, Mier, Reynosa, Río Bravo, San Fernando, Valle Hermoso, Victoria"
4.196939079436624,128.460678,10,"Altamira, Casas, González, Matamoros, Méndez, Mier, Reynosa, Río Bravo, San Fernando, Valle Hermoso"
41.343363354687035,95.229076,6,"Aldama, Gustavo Díaz Ordaz, Llera, Matamoros, Nuevo Laredo, San Nicolás"
74.24941736268339,150.277393,3,"Camargo, San Fernando, Xicoténcatl"
34.95836869361204,150.277393,4,"Camargo, Río Bravo, San Fernando, Xicoténcatl"
22.884285306543312,150.277393,5,"Camargo, Matamoros, Río Bravo, San Fernando, Xicoténcatl"
10.064315554364562,103.28924,9,"Camargo, González, Matamoros, Méndez, Nuevo Laredo, Río Bravo, San Fernando, Valle Hermoso, Victoria"
12.098977659654176,81.482774,10,"Aldama, Gustavo Díaz Ordaz, Hidalgo, Matamoros, Nuevo Laredo, Río Bravo, San Fernando, Soto la Marina, Tula, Valle Hermoso"
22.497550431350962,64.340019,10,"Altamira, Guerrero, Hidalgo, Matamoros, Méndez, Nuevo Laredo, Río Bravo, Soto la Marina, Tula, Xicoténcatl"
47.608453317710584,129.044191,4,"Guerrero, El Mante, Río Bravo, San Nicolás"
13.246386565980444,74.208543,10,"Altamira, Camargo, Casas, González, Hidalgo, Matamoros, Nuevo Laredo, Río Bravo, San Fernando, Tula"
5.2718509238177536,125.23272,10,"Altamira, González, Güémez, Guerrero, Matamoros, Méndez, Reynosa, Río Bravo, San Fernando, Valle Hermoso"
27.274276365291637,69.722158,9,"Altamira, Camargo, Casas, Hidalgo, Nuevo Laredo, Río Bravo, San Fernando, Tula, Xicoténcatl"
15.200192978222915,69.722158,10,"Altamira, Camargo, Casas, Hidalgo, Matamoros, Nuevo Laredo, Río Bravo, San Fernando, Tula, Xicoténcatl"
10.16274280288312,125.23272,8,"González, Güémez, Guerrero, Matamoros, Méndez, Río Bravo, San Fernando, Valle Hermoso"
13.215097476480278,125.23272,7,"González, Güémez, Guerrero, Matamoros, Río Bravo, San Fernando, Valle Hermoso"
7.234834499202491,125.23272,9,"González, Güémez, Guerrero, Matamoros, Méndez, Reynosa, Río Bravo, San Fernando, Valle Hermoso"
17.080759273086198,125.23272,6,"González, Güémez, Guerrero, Matamoros, Río Bravo, San Fernando"
29.154842660154923,125.23272,5,"González, Güémez, Guerrero, Río Bravo, San Fernando"
24.272276054278006,64.305504,10,"Altamira, Camargo, Casas, Hidalgo, El Mante, Méndez, Nuevo Laredo, Río Bravo, San Fernando, Tula"
12.96796895499244,80.642886,10,"Altamira, Camargo, Casas, González, Matamoros, Nuevo Laredo, Río Bravo, San Fernando, San Nicolás, Tula"
25.220975905833615,74.208543,9,"Altamira, Casas, González, Gustavo Díaz Ordaz, Hidalgo, Matamoros, Nuevo Laredo, San Fernando, Tula"
15.643140333924269,81.482774,9,"Altamira, Camargo, Casas, Matamoros, Nuevo Laredo, Río Bravo, San Fernando, San Nicolás, Tula"
81.97187386326387,146.150389,3,"Camargo, Méndez, Xicoténcatl"
41.47897858696889,146.150389,4,"Camargo, Méndez, Río Bravo, Xicoténcatl"
54.50693537575296,125.23272,4,"González, Güémez, Guerrero, Valle Hermoso"
33.68500111597843,64.305504,9,"Altamira, Camargo, Casas, Hidalgo, El Mante, Méndez, Nuevo Laredo, Río Bravo, Tula"
24.942558294845607,80.642886,9,"Altamira, Casas, González, Gustavo Díaz Ordaz, Matamoros, Nuevo Laredo, San Fernando, San Nicolás, Tula"
40.203055303708524,81.482774,7,"Altamira, Casas, Gustavo Díaz Ordaz, Matamoros, Nuevo Laredo, San Nicolás, Tula"
27.617729673777436,81.482774,8,"Altamira, Casas, Gustavo Díaz Ordaz, Matamoros, Nuevo Laredo, San Fernando, San Nicolás, Tula"
89.5044624580781,138.045942,3,"El Mante, Méndez, Miguel Alemán"
37.527883924776695,80.642886,8,"Altamira, Casas, González, Gustavo Díaz Ordaz, Matamoros, Nuevo Laredo, San Nicolás, Tula"
42.759693925919166,138.045942,4,"El Mante, Méndez, Mier, Río Bravo"
