f1_distancia_promedio,f2_distancia_maxima,centros
16.62166718898823,218.757001,"González, Matamoros, Río Bravo, San Fernando, Valle Hermoso"
28.168142640762028,128.460678,"Casas, González, Mier, Río Bravo, San Fernando"
29.02191024088095,125.23272,"González, Güémez, Mier, Río Bravo, San Fernando"
29.702325248994832,106.008269,"González, Guerrero, Río Bravo, San Fernando, Victoria"
29.569392829720854,122.698237,"González, Mier, Río Bravo, San Fernando, Victoria"
17.352438277929657,197.327862,"González, Matamoros, Reynosa, Río Bravo, San Fernando"
19.509264540550127,159.121441,"Camargo, González, Matamoros, Río Bravo, San Fernando"
27.742051979345796,146.150389,"Camargo, Casas, González, Río Bravo, San Fernando"
27.985636966192395,129.804564,"Casas, González, Miguel Alemán, Río Bravo, San Fernando"
22.884285306543312,150.277393,"Camargo, Matamoros, Río Bravo, San Fernando, Xicoténcatl"
