Framework,Mejor,Peor,Promedio,Desv_Est,Tiempo_promedio_s
DEAP,0.002384074118017347,0.032838255327487104,0.010073364806474923,0.007069826919802521,0.10965272667817771
PYMOO,0.00247446921994433,0.025988314746668507,0.01058932005626544,0.0055977649568787115,0.2666540500242263
