Framework,Poblacion,Promedio_mejor_fitness,Desv_Est,Tiempo_promedio_s
DEAP,20,0.057702317609837156,0.03171235781688572,0.038346123330605525
DEAP,50,0.010073364806474923,0.007069826919802521,0.08853119333895544
DEAP,100,0.003868869537536803,0.0014434818603461916,0.15884822664471965
PYMOO,20,0.03791509873838382,0.020141470790777424,0.1222717666455234
PYMOO,50,0.01058932005626544,0.0055977649568787115,0.22496057667303831
PYMOO,100,0.004342071863066122,0.0018369399323107463,0.3624015266774222
