Framework,Poblacion,Semilla,Fitness_final,Tiempo_s
PYMOO,100,4,0.0031112759592206753,0.3516094000078738
DEAP,100,5,0.004428346137940359,0.1997026999015361
PYMOO,100,5,0.003962807431569487,0.33697429997846484
DEAP,100,6,0.005492165186730267,0.15523759997449815
PYMOO,100,6,0.005033742344334288,0.3757569999434054
DEAP,100,7,0.0020191072595567346,0.14420430012978613
PYMOO,100,7,0.0030312640683294746,0.3409345999825746
DEAP,100,8,0.0011122651888023558,0.17577700014226139
PYMOO,100,8,0.007847132733368335,0.3581215001177043
DEAP,100,9,0.005492106497541582,0.16194699984043837
PYMOO,100,9,0.001960409839216367,0.3514727000147104
DEAP,100,10,0.004055226415302072,0.17653459985740483
PYMOO,100,10,0.0022381229157688756,0.3419391999486834
DEAP,100,11,0.004094307957624944,0.14644639985635877
PYMOO,100,11,0.0039035129905828497,0.3459467999637127
DEAP,100,12,0.005365016494411161,0.16110459994524717
PYMOO,100,12,0.004253589799228844,0.39247699989937246
DEAP,100,13,0.006926484388699275,0.15204599988646805
PYMOO,100,13,0.004457052213558712,0.3834263999015093
DEAP,100,14,0.003382014997785736,0.1441754000261426
PYMOO,100,14,0.0021285583627732125,0.3633278999477625
DEAP,100,15,0.005834372083701691,0.16213729977607727
PYMOO,100,15,0.004800248977797847,0.3638645000755787
DEAP,100,16,0.0036757215667913685,0.17082479991950095
PYMOO,100,16,0.00402266445139155,0.37225529993884265
DEAP,100,17,0.002497894864745913,0.15124269993975759
PYMOO,100,17,0.0014646717325438978,0.3826450000051409
DEAP,100,18,0.00354817633676676,0.1506085000000894
PYMOO,100,18,0.004645112709549435,0.3457534001208842
DEAP,100,19,0.0033326836911974516,0.15332179982215166
PYMOO,100,19,0.004116218112634508,0.37291990010999143
DEAP,100,20,0.003052457894060014,0.16167750000022352
PYMOO,100,20,0.007518124654371005,0.35160550009459257
DEAP,100,21,0.005135100486845985,0.14884690009057522
PYMOO,100,21,0.003967393003573626,0.37480370001867414
DEAP,100,22,0.003873310661846169,0.15891640004701912
PYMOO,100,22,0.003698884296689822,0.3565756001044065
DEAP,100,23,0.00458639825410957,0.15107879997231066
PYMOO,100,23,0.00819092141754705,0.3683234001509845
DEAP,100,24,0.0039302133315736185,0.1508565000258386
PYMOO,100,24,0.0028461235367909085,0.3982533998787403
DEAP,100,25,0.0007684847337752666,0.14385889982804656
PYMOO,100,25,0.007487071619750947,0.364926700014621
DEAP,100,26,0.002810214382486164,0.16571380011737347
PYMOO,100,26,0.0019243197924082535,0.33101080008782446
DEAP,100,27,0.005751480718974949,0.14044900005683303
PYMOO,100,27,0.007097520690841924,0.40563299995847046
DEAP,100,28,0.003576717267285908,0.15660810004919767
PYMOO,100,28,0.005180402545364236,0.33738450007513165
DEAP,100,29,0.0030613880284983495,0.15624279994517565
PYMOO,100,29,0.004325143486262978,0.37313549988903105
