p,Aleatorio_media,Produccion,Voraz,GA_media,GA_mejor
3,120.17822030163704,38.90346097901841,38.02295645465094,32.56141237266287,32.56141237266288
5,78.44901441720778,31.902908474747992,16.62166718898823,16.62166718898823,16.62166718898823
7,73.97150986430371,10.29687373279227,9.639804742129789,9.63980474212979,9.639804742129789
10,48.726741556270404,3.793611288180307,3.721808806322683,3.7218088063226835,3.721808806322683
