p,fitness,centros
3,38.02295645465094,"González, San Fernando, Valle Hermoso"
5,16.62166718898823,"González, Matamoros, Río Bravo, San Fernando, Valle Hermoso"
7,9.639804742129789,"Casas, González, Matamoros, Méndez, Río Bravo, San Fernando, Valle Hermoso"
10,3.721808806322683,"Altamira, Casas, González, Matamoros, Méndez, Reynosa, Río Bravo, San Fernando, Soto la Marina, Valle Hermoso"
