f3_centros,numero_soluciones,mejor_f1,mejor_f2,media_f1,media_f2
3,10,32.56141237266288,138.045942,62.13006372146286,171.40067530000002
4,10,20.487328985594157,125.23272,37.98534268174961,155.8812048
5,10,16.62166718898823,106.008269,24.869004763918216,148.3838554
6,13,12.780371240715173,95.229076,22.63978218841154,132.994636
7,12,9.639804742129789,81.482774,18.37231342190157,128.38157291666667
8,12,6.504914034465295,80.642886,15.45431952672291,116.87206333333334
9,15,4.541930459080558,64.305504,13.918389911899357,107.38006433333334
10,16,3.721808806322683,64.305504,10.00648213323484,104.6900615
